Time,Sensor,Steps
26.283523321151733,725,43
26.333704710006714,721,43
26.383529901504517,723,43
26.433709621429443,723,43
26.483521461486816,722,43
26.533719539642334,719,43
26.583555221557617,719,43
26.63373637199402,719,43
26.683520555496216,716,43
26.733707904815674,716,43
26.783516883850098,712,43
26.833703994750977,715,43
26.883522033691406,714,43
26.93372106552124,712,43
26.983529090881348,713,43
27.033718824386597,711,43
27.083528518676758,710,43
27.134031295776367,710,43
27.18352484703064,709,43
27.233704805374146,708,43
27.2835214138031,709,43
27.333704471588135,709,43
27.38352346420288,708,43
27.433706283569336,707,43
27.483540058135986,707,43
27.533719301223755,707,43
27.583534002304077,707,43
27.633716344833374,706,43
27.683539390563965,706,43
27.73373579978943,706,43
27.78355360031128,704,43
27.83372974395752,705,43
27.883525848388672,705,43
27.933719396591187,704,43
27.983596563339233,704,43
28.03381657600403,704,43
28.083529710769653,704,43
28.133983850479126,703,43
28.18353509902954,705,43
28.23371648788452,703,43
28.28352403640747,703,43
28.33372211456299,703,43
28.383543014526367,703,43
28.433724880218506,704,43
28.48352813720703,704,43
28.533721446990967,703,42
28.583563566207886,702,42
28.633757829666138,703,42
28.683518409729004,704,42
28.733699560165405,706,42
28.783486127853394,713,42
28.833667993545532,724,42
28.883514642715454,728,42
28.933697938919067,729,42
28.983489751815796,738,41
29.033685207366943,747,41
29.083536624908447,747,41
29.134026527404785,751,40
29.18354821205139,763,40
29.233748197555542,765,40
29.283551931381226,768,39
29.33374810218811,771,39
29.383546113967896,775,38
29.43373203277588,778,38
29.483538389205933,780,37
29.533759593963623,780,37
29.58355712890625,780,36
29.633803844451904,772,35
29.68354368209839,768,35
29.7337327003479,761,35
29.78356409072876,746,34
29.833749294281006,736,34
29.883553981781006,729,34
29.933745861053467,721,33
29.983553171157837,716,33
30.03373384475708,716,33
30.08355474472046,715,33
30.134018659591675,714,33
30.183559894561768,705,33
30.233731508255005,699,33
30.28355360031128,690,32
30.333739280700684,685,32
30.38355016708374,680,32
30.433740854263306,677,32
30.483553409576416,672,32
30.53373670578003,669,32
30.583496570587158,663,31
30.633710145950317,663,31
30.683495044708252,660,31
30.733686685562134,658,31
30.7835054397583,656,31
30.83368730545044,653,31
30.883490562438965,653,31
30.93367624282837,652,31
30.98354458808899,649,31
31.03374481201172,651,31
31.08357572555542,648,31
31.134032487869263,650,31
31.183560848236084,650,31
31.233736753463745,650,31
31.283567428588867,650,31
31.333765268325806,651,31
31.383586168289185,651,31
31.43376874923706,651,31
31.483511447906494,651,31
31.533695697784424,650,31
31.58353090286255,651,31
31.633705377578735,651,31
31.683521270751953,651,31
31.73370051383972,652,31
31.78352975845337,656,31
31.83370876312256,657,31
31.88353657722473,660,31
31.933735847473145,662,32
31.983597993850708,665,32
32.03381061553955,667,32
32.08356022834778,667,32
32.134047985076904,670,32
32.18357825279236,672,32
32.233766317367554,673,32
32.28356599807739,674,32
32.33374905586243,675,32
32.38359808921814,677,32
32.43378162384033,677,32
32.48356556892395,679,32
32.5337610244751,680,32
32.58359408378601,682,32
32.63377642631531,681,32
32.68360948562622,683,32
32.733792781829834,684,32
32.78360438346863,685,32
32.833791971206665,686,32
32.88358497619629,684,32
32.93377900123596,687,33
32.98361778259277,687,33
33.03380084037781,687,33
33.0835485458374,688,33
33.13404726982117,688,33
33.183595418930054,690,33
33.23377299308777,690,33
33.28359127044678,690,33
33.33377480506897,692,33
33.38362908363342,693,33
33.43281173706055,690,33
33.48360466957092,693,33
33.53359127044678,693,33
33.58377504348755,694,33
33.63365888595581,694,33
33.682857513427734,693,33
33.73356604576111,694,33
33.7835431098938,695,33
33.83280324935913,695,33
33.88359260559082,695,33
33.93369746208191,695,33
33.98300385475159,695,33
34.03347730636597,697,33
34.08366012573242,697,33
34.133936166763306,696,33
34.183199882507324,695,33
34.233665466308594,698,33
